word,pos,definition,section
impute,verb,attribute (responsibility or fault) to something,advanced
inanity,noun,total lack of meaning or ideas,advanced
inchoate,adjective,only partly in existence; imperfectly formed,advanced
incontrovertible,adjective,necessarily or demonstrably true; impossible to deny or disprove,advanced
indigent,adjective,poor; having very little,advanced
indigent,noun,a poor or needy person,advanced
ineffable,adjective,too sacred to be uttered; defying expression or description,advanced
ineluctable,adjective,impossible to avoid or evade:,advanced
inequity,noun,injustice by virtue of not conforming with rules or standards,advanced
infelicitous,adjective,inappropriate,advanced
inimitable,adjective,defying imitation; matchless,advanced
insouciance,noun,lack of concern,advanced
insufferable,adjective,"intolerable, difficult to endure",advanced
internecine,adjective,(of conflict) within a group or organization,advanced
intimation,noun,an indirect suggestion,advanced
inure,verb,to make accustomed to something unpleasant,advanced
invective,noun,abusive or denunciatory language,advanced
invidious,adjective,likely to cause resentment,advanced
inviolable,adjective,"never to be broken, infringed, or dishonored",advanced
inviolate,adjective,must be kept sacred,advanced
irrefutable,adjective,impossible to deny or disprove,advanced
jaundice,adjective,to be biased against due to envy or prejudice,advanced
jejune,adjective,dull; lacking flavor,advanced
jejune,adjective,immature; childish,advanced
jingoist,noun,a person who thinks that their country should be at war,advanced
juggernaut,noun,a force that cannot be stopped,advanced
kowtow,verb,to bow or act in a subservient manner,advanced
lacerate,verb,deeply hurt the feelings of; distress,advanced
lachrymose,adjective,showing sorrow,advanced
lampoon,verb,ridicule with satire,advanced
languish,verb,become feeble,advanced
lascivious,adjective,lecherous; sexually perverted,advanced
limpid,adjective,clarity in terms of expression,advanced
litany,noun,any long and tedious account of something,advanced
loath,adjective,unwillingness to do something contrary to your custom (usually followed by 'to'),advanced
lugubrious,adjective,excessively mournful,advanced
machinate,verb,"engage in plotting or enter into a conspiracy, swear together",advanced
magisterial,adjective,offensively self-assured or given to exercising unwarranted power,advanced
malapropism,noun,the confusion of a word with another word that sounds similar,advanced
malfeasance,adjective,misconduct or wrongdoing (especially by a public official),advanced
malingerer,noun,someone shirking their duty by pretending to be sick or incapacitated,advanced
martinet,noun,a strict disciplinarian,advanced
maudlin,adjective,overly emotional and sad,advanced
maunder,verb,wander aimlessly,advanced
maunder,verb,speak (about unimportant matters) rapidly and incessantly,advanced
mellifluous,adjective,smooth and sweet-sounding,advanced
mendicant,noun,a pauper who lives by begging,advanced
meteoric,adjective,like a meteor in speed or brilliance or transience,advanced
mettlesome,adjective,filled with courage or valor,advanced
misattribute,verb,"To erroneously attribute; to falsely ascribe; used especially of authorship. I made a mistake; I misattributed ""Crime and Punishment"" to Leo Tolstoy when it was actually written by Fyodor Dostoyevsky.",advanced
modicum,noun,a small or moderate or token amount,advanced
mordant,adjective,"biting and caustic in thought, manner, or style",advanced
moribund,adjective,being on the point of death; declining rapidly losing all momentum in progress,advanced
mulct,verb,to defraud or swindle,advanced
nadir,noun,the lowest point,advanced
nettlesome,adjective,causing irritation or annoyance,advanced
noisome,adjective,having an extremely bad smell,advanced
nonchalant,adjective,coming across as cooly uninterested,advanced
objurgate,verb,express strong disapproval of,advanced
oblique,adjective,not straightforward; indirect,advanced
obstreperous,adjective,noisily and stubbornly defiant; willfully difficult to control,advanced
obtain,adjective,"be valid, applicable, or true",advanced
obtuse,adjective,slow to learn or understand; lacking intellectual acuity; lacking in insight or discernment,advanced
officious,adjective,intrusive in a meddling or offensive manner,advanced
ossify,verb,make rigid and set into a conventional pattern,advanced
overweening,adjective,arrogant; presumptuous,advanced
palatable,adjective,acceptable to the taste or mind,advanced
palaver,verb,speak (about unimportant matters) rapidly and incessantly,advanced
palimpsest,noun,something that has been changed numerous times but on which traces of former iterations can still be seen,advanced
panacea,noun,hypothetical remedy for all ills or diseases; a universal solution,advanced
panegyric,noun,a formal expression of praise,advanced
paragon,noun,model of excellence or perfection of a kind; one having no equal,advanced
paragon,noun,an ideal instance; a perfect embodiment of a concept,advanced
pariah,noun,an outcast,advanced
parvenu,noun,"a person who has suddenly become wealthy, but not socially accepted as part of a higher class",advanced
patent,adjective,glaringly obvious,advanced
pecuniary,adjective,relating to or involving money,advanced
pellucid,adjective,transparently clear; easily understandable,advanced
penurious,adjective,lacking money; poor,advanced
penurious,adjective,miserly,advanced
percipient,adjective,highly perceptive,advanced
peremptory,adjective,bossy and domineering,advanced
perfunctory,adjective,done routinely and with little interest or care,advanced
peripatetic,adjective,traveling by foot,advanced
perspicacious,adjective,acutely insightful and wise,advanced
phantasmagorical,adjective,illusive; unreal,advanced
philistine,adjective,smug and ignorant towards artistic and cultural values,advanced
phlegmatic,adjective,showing little emotion,advanced
picayune,adjective,trifling or petty (a person),advanced
pillory,verb,ridicule or expose to public scorn,advanced
pith,noun,the most essential part of something,advanced
plucky,adjective,marked by courage and determination,advanced
"Pollyannaish (adjective):,.,extremely optimistic Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her.","Pollyannaish (adjective):,.,extremely optimistic Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her.","Pollyannaish (adjective):,.,extremely optimistic Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her.",advanced
ponderous,adjective,weighed-down; moving slowly,advanced
pontificate,verb,talk in a dogmatic and pompous manner,advanced
portentous,adjective,ominously prophetic,advanced
precipitate,adjective,hasty or rash,advanced
precipitate,verb,to cause to happen,advanced
presentiment,noun,a feeling of evil to come,advanced
primacy,noun,the state of being first in importance,advanced
probity,noun,"integrity, strong moral principles",advanced
prognostication,noun,a statement made about the future,advanced
prolixity,noun,boring verbosity,advanced
promulgate,verb,state or announce,advanced
propitiate,verb,to placate or appease,advanced
prosaic,adjective,dull and lacking imagination,advanced
proscribe,verb,command against,advanced
proselytize,verb,"convert to another religion, philosophy, or perspective",advanced
protean,adjective,readily taking on different roles; versatile,advanced
provident,adjective,careful in regard to your own interests; providing carefully for the future,advanced
puerile,adjective,of or characteristic of a child; displaying or suggesting a lack of maturity,advanced
puissant,adjective,powerful,advanced
punctilious,adjective,marked by precise accordance with details,advanced
pyrrhic,adjective,describing a victory that comes at such a great cost that the victory is not worthwhile,advanced
quail,verb,"draw back, as with fear or pain",advanced
quisling,noun,a traitor,advanced
quixotic,adjective,wildly idealistic; impractical,advanced
raconteur,noun,a person skilled in telling anecdotes,advanced
raillery,noun,light teasing,advanced
rapprochement,noun,the reestablishing of cordial relations,advanced
rarefied,verb,make more subtle or refined,advanced
recapitulation,noun,a summary (think of recap),advanced
recrimination,noun,mutual accusations,advanced
recrudesce,verb,to break out or happen again,advanced
redoubtable,adjective,inspiring fear or awe,advanced
remonstrate,verb,to make objections while pleading,advanced
reprisal,noun,a retaliatory action against an enemy in wartime,advanced
ribald,adjective,humorously vulgar,advanced
row,noun,an angry dispute,advanced
sagacious,adjective,having good judgement and acute insight,advanced
sangfroid,noun,calmness or poise in difficult situations,advanced
sardonic,adjective,disdainfully or ironically humorous; scornful and mocking,advanced
sartorial,adjective,related to fashion or clothes,advanced
saturnine,adjective,morose or gloomy,advanced
schadenfreude,noun,joy from watching the suffering of others,advanced
sedulous,adjective,done diligently and carefully,advanced
"self-effacing (adjective):,reluctant to draw attention to yourself .,The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers.","self-effacing (adjective):,reluctant to draw attention to yourself .,The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers.","self-effacing (adjective):,reluctant to draw attention to yourself",advanced
semblance,noun,an outward or token appearance or form that is deliberately misleading,advanced
sententious,adjective,"to be moralizing, usually in a pompous sense",advanced
simulacrum,noun,a representation of a person (especially in the form of sculpture),advanced
simulacrum,noun,a bad imitation,advanced
sinecure,noun,an office that involves minimal duties,advanced
solecism,noun,a socially awkward or tactless act,advanced
solicitous,adjective,showing hovering attentiveness,advanced
solicitude,noun,a feeling of excessive concern,advanced
spartan,adjective,unsparing and uncompromising in discipline or judgment; practicing great self-denial,advanced
splenetic,adjective,very irritable,advanced
squelch,verb,suppress or crush completely,advanced
stalwart,adjective,dependable; inured to fatigue or hardships,advanced
stultify,verb,"cause one, through routine, to lose energy and enthusiasm",advanced
subterfuge,noun,something intended to misrepresent the true nature of an activity,advanced
supercilious,adjective,haughty and disdainful; looking down on others,advanced
surfeit,noun,an excessive amount of something,advanced
surreptitious,adjective,"stealty, taking pains not to be caught or detected",advanced
sybarite,noun,a person who indulges in luxury,advanced
temerity,noun,fearless daring,advanced
tempestuous,adjective,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating,advanced
tendentious,adjective,likely to lean towards a controversial view,advanced
transmute,verb,"change or alter in form, appearance, or nature",advanced
trenchant,adjective,"characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect",advanced
truculence,noun,defiant aggressiveness,advanced
truculent,adjective,"having a fierce, savage nature",advanced
turgid,adjective,(of language) pompous and tedious,advanced
turpitude,noun,depravity; a depraved act,advanced
tyro,noun,someone new to a field or activity,advanced
umbrage,noun,a feeling of anger caused by being offended,advanced
unassailable,adjective,immune to attack; without flaws,advanced
unflappable,adjective,not easily perturbed or excited or upset; marked by extreme calm and composure,advanced
unforthcoming,adjective,"uncooperative, not willing to give up information",advanced
unimpeachable,adjective,free of guilt; not subject to blame; beyond doubt or reproach,advanced
unprepossessing,adjective,creating an unfavorable or neutral first impression,advanced
unpropitious,adjective,(of a circumstance) with little chance of success,advanced
unstinting,adjective,very generous,advanced
untenable,adjective,(of theories etc) incapable of being defended or justified,advanced
untoward,adjective,unfavorable; inconvenient,advanced
untrammeled,adjective,not confined or limited,advanced
unviable,adjective,"not able to work, survive, or succeed (also spelled inviable).",advanced
vaunted,adjective,highly or widely praised or boasted about,advanced
venial,adjective,easily excused or forgiven; pardonable,advanced
verisimilitude,noun,the appearance of truth,advanced
veritable,adjective,"truthfully, without a doubt",advanced
vicissitude,noun,"change in one's circumstances, usually for the worse",advanced
vitriol,noun,abusive or venomous language used to express blame or bitter deep-seated ill will,advanced
vitriolic,adjective,harsh or corrosive in tone,advanced
vituperate,adjective,to criticize harshly; to berate,advanced
zeitgeist,noun,spirit of the times,advanced
aberrant,adjective,markedly different from an accepted norm,common
aberration,noun,a deviation from what is normal or expected,common
abstain,verb,choose not to consume or take part in (particularly something enjoyable),common
abstruse,adjective,difficult to understand; incomprehensible,common
accolade,noun,an award or praise granted as a special honor,common
acerbic,adjective,harsh in tone,common
acrimony,noun,bitterness and ill will,common
adamant,adjective,refusing to change one's mind,common
admonish,verb,"to warn strongly, even to the point of reprimanding",common
admonitory,adjective,serving to warn; expressing reproof or reproach especially as a corrective,common
aesthete,noun,one who professes great sensitivity to the beauty of art and nature,common
aesthetic,adjective,concerned with the appreciation of beauty,common
aesthetic,noun,a set of principles underlying and guiding the work of a particular artist or artistic movement.,common
amalgam,noun,a mixture of multiple things,common
ambiguous,adjective,open to more than one interpretation,common
ambivalent,adjective,mixed or conflicting emotions about something,common
ameliorate,verb,make something bad better,common
amenable,adjective,easily persuaded,common
amorphous,adjective,shapeless,common
anomalous,adjective,not normal,common
anomaly,noun,"something that is not normal, standard, or expected",common
antipathy,noun,an intense feeling of dislike or aversion,common
antithetical,adjective,sharply contrasted in character or purpose,common
apathetic,adjective,marked by a lack of interest,common
apathy,noun,an absence of emotion or enthusiasm,common
apocryphal,adjective,being of questionable authenticity,common
appease,verb,pacify by acceding to the demands of,common
arbitrary,adjective,"based on a random, groundless decision",common
arcane,adjective,requiring secret or mysterious knowledge,common
arduous,adjective,demanding considerable mental effort and skill; testing powers of endurance,common
artful,adjective,exhibiting artistic skill,common
artful,adjective,clever in a cunning way,common
ascetic,adjective,practicing self-denial,common
ascetic,noun,one who practices great self-denial,common
askance,adverb,with a look of suspicion or disapproval,common
audacious,adjective,willing to be bold in social situations or to take risks,common
audacity,noun,aggressive boldness in social situations,common
auspicious,adjective,"favorable, the opposite of sinister",common
austere,adjective,practicing self-denial,common
austere,adjective,unadorned in style or appearance,common
austere,adjective,harsh in manner of temperament,common
avaricious,adjective,excessively greedy,common
banal,adjective,repeated too often; overfamiliar through overuse,common
banality,noun,a trite or obvious remark,common
belie,verb,to give a false representation to; misrepresent,common
belligerent,adjective,characteristic of one eager to fight,common
betray,verb,"to reveal or make known something, usually unintentionally",common
blatant,adjective,without any attempt at concealment; completely obvious,common
bolster,verb,support and strengthen,common
brazen,adjective,unrestrained by convention or propriety,common
bucolic,adjective,relating to the pleasant aspects of the country,common
bumbling,adjective,"lacking physical movement skills, especially with the hands",common
burgeon,verb,grow and flourish,common
calumny,noun,making of a false statement meant to injure a person's reputation,common
capricious,adjective,determined by chance or impulse or whim rather than by necessity or reason,common
castigate,verb,to reprimand harshly,common
censure,verb,to express strong disapproval,common
chastise,verb,to reprimand harshly,common
chortle,verb,"to chuckle, laugh merrily",common
circumscribe,verb,restrict or confine,common
circumvent,verb,cleverly find a way out of one's duties or obligations,common
commensurate,adjective,to be in proportion or corresponding in degree or amount,common
concede,verb,acknowledge defeat,common
concede,verb,admit (to a wrongdoing),common
concede,verb,give over; surrender or relinquish to the physical control of another,common
confound,verb,be confusing or perplexing to,common
confound,verb,mistake one thing for another,common
conspicuous,adjective,without any attempt at concealment; completely obvious,common
constituent,noun,a citizen who is represented in a government by officials for whom he or she votes,common
constituent,noun,an abstract part of something,common
construe,verb,interpreted in a particular way,common
contingent,noun,a gathering of persons representative of some larger group,common
contingent,adjective,possible but not certain to occur,common
contrition,noun,the feeling of remorse or guilt that comes from doing something bad,common
contrive,verb,"to pull off a plan or scheme, usually through skill or trickery",common
copious,adjective,in abundant supply,common
craven,adjective,pathetically cowardly,common
cryptic,adjective,"mysterious or vague, usually intentionally",common
culminate,verb,reach the highest or most decisive point,common
culpability,noun,a state of guilt,common
decorous,adjective,characterized by good taste in manners and conduct,common
decorum,noun,propriety in manners and conduct,common
deferential,adjective,showing respect,common
deleterious,adjective,harmful to living things,common
delineate,verb,describe in detail,common
demur,verb,to object or show reluctance,common
denigrate,verb,charge falsely or with malicious intent; attack the good name and reputation of someone,common
denote,verb,be a sign or indication of; have as a meaning,common
derivative,adjective,"(or a creative product, e.g. music, writing, etc.) not original but drawing on the work of another person",common
derive,verb,"come from; be connected by a relationship of blood, for example",common
derive,verb,reason by deduction; establish by deduction,common
dictatorial,adjective,expecting unquestioning obedience; characteristic of an absolute ruler,common
didactic,adjective,instructive (especially excessively),common
diffident,adjective,showing modest reserve; lacking self-confidence,common
dilatory,adjective,wasting time,common
dilettante,noun,an amateur who engages in an activity without serious intentions and who pretends to have knowledge,common
disaffected,adjective,discontented as toward authority,common
discrete,adjective,constituting a separate entity or part,common
disinterested,adjective,unbiased; neutral,common
dispassionate,adjective,unaffected by strong emotion or prejudice,common
disseminate,verb,cause to become widely known,common
dogmatic,adjective,"highly opinionated, not accepting that your belief may not be correct",common
duress,noun,compulsory force or threat,common
eclectic,adjective,comprised of a variety of styles,common
economical,adjective,"avoiding waste, efficient",common
edifying,adjective,enlightening or uplifting so as to encourage intellectual or moral improvement,common
efficacious,adjective,producing the intended result,common
egregious,adjective,standing out in negative way; shockingly bad,common
elicit,verb,"call forth (emotions, feelings, and responses)",common
elucidate,verb,make clearer and easier to understand,common
eminent,adjective,standing above others in quality or position,common
enervate,verb,to sap energy from,common
engender,verb,give rise to,common
entrenched,adjective,fixed firmly or securely,common
ephemeral,adjective,lasting a very short time,common
equivocal,adjective,confusing or ambiguous,common
eradicate,verb,to completely destroy,common
erudite,adjective,having or showing profound knowledge,common
eschew,verb,avoid and stay away from deliberately; stay clear of,common
esoteric,adjective,confined to and understandable by only an enlightened inner circle,common
espouse,verb,to adopt or support an idea or cause,common
exacerbate,verb,make worse,common
exacting,adjective,requiring and demanding accuracy,common
exalt,verb,praise or glorify,common
exonerate,verb,pronounce not guilty of criminal charges,common
expound,verb,add details or explanation; clarify the meaning; state in depth,common
extant,adjective,the opposite of extinct,common
fallacious,adjective,of a belief that is based on faulty reasoning,common
fastidious,adjective,overly concerned with details; fussy,common
flux,noun,a state of uncertainty about what should be done (usually following some important event),common
foment,verb,try to stir up public opinion,common
forlorn,adjective,marked by or showing hopelessness,common
forthcoming,adjective,available when required or as promised,common
forthcoming,adjective,at ease in talking to others,common
fortuitous,adjective,occurring by happy chance; having no cause or apparent cause,common
frivolous,adjective,not serious in content or attitude or behavior,common
frugal,adjective,not spending much money (but spending wisely),common
frustrate,verb,"hinder or prevent (the efforts, plans, or desires) of",common
furtive,adjective,marked by quiet and caution and secrecy; taking pains to avoid being observed,common
gainsay,verb,deny or contradict; speak against or oppose,common
gall,noun,the trait of being rude and impertinent,common
gall,noun,feeling of deep and bitter anger and ill-will,common
galvanize,verb,to excite or inspire (someone) to action,common
garrulous,adjective,full of trivial conversation,common
gauche,adjective,lacking social polish,common
germane,adjective,relevant and appropriate,common
glut,noun,an excessive supply,common
glut,verb,supply with an excess of,common
gossamer,adjective,characterized by unusual lightness and delicacy,common
gregarious,adjective,to be likely to socialize with others,common
guileless,adjective,free of deceit,common
hackneyed,adjective,lacking significance through having been overused,common
haphazard,adjective,marked by great carelessness; dependent upon or characterized by chance,common
harangue,noun,a long pompous speech; a tirade,common
harangue,verb,to deliver a long pompous speech or tirade,common
harried,adjective,troubled persistently especially with petty annoyances,common
haughty,adjective,having or showing arrogant superiority to and disdain of those one views as unworthy,common
hegemony,adjective,dominance over a certain area,common
heretic,noun,a person who holds unorthodox opinions in any field (not merely religion),common
iconoclast,noun,somebody who attacks cherished beliefs or institutions,common
iconoclastic,adjective,defying tradition or convention,common
idiosyncrasy,noun,a behavioral attribute that is distinctive and peculiar to an individual,common
ignoble,adjective,dishonorable,common
ignominious,adjective,(used of conduct or character) deserving or bringing disgrace or shame,common
immutable,adjective,not able to be changed,common
impartial,adjective,free from undue bias or preconceived opinions,common
impertinent,adjective,being disrespectful; improperly forward or bold,common
implacable,adjective,incapable of making less angry or hostile,common
implausible,adjective,describing a statement that is not believable,common
imprudent,adjective,not wise,common
impudent,adjective,improperly forward or bold,common
incisive,adjective,having or demonstrating ability to recognize or draw fine distinctions,common
incongruous,adjective,lacking in harmony or compatibility or appropriateness,common
incorrigible,adjective,impervious to correction by punishment,common
indecorous,adjective,not in keeping with accepted standards of what is right or proper in polite society,common
indifference,noun,the trait of seeming not to care,common
inexorable,adjective,impossible to stop or prevent,common
ingenuous,adjective,to be naÃ¯ve and innocent,common
ingratiate,verb,gain favor with somebody by deliberate efforts,common
inimical,adjective,hostile (usually describes conditions or environments),common
innocuous,adjective,"harmless and doesn""t produce any ill effects",common
inscrutable,adjective,not easily understood; unfathomable,common
insidious,adjective,working in a subtle but destructive way,common
insolent,adjective,rude and arrogant,common
intimate,verb,to suggest something subtly,common
intransigent,adjective,unwilling to change one's beliefs or course of action,common
intrepid,adjective,fearless,common
inveterate,adjective,habitual,common
involved,adjective,"complicated, and difficult to comprehend",common
irrevocable,adjective,incapable of being retracted or revoked,common
itinerant,adjective,traveling from place to place to work,common
jingoism,noun,fanatical patriotism,common
jovial,adjective,full of or showing high-spirited merriment,common
jubilant,adjective,full of high-spirited delight because of triumph or success,common
juxtapose,verb,place side by side,common
laconic,adjective,one who says very few words,common
lambast,verb,criticize severely or angrily,common
languid,adjective,not inclined towards physical exertion or effort; slow and relaxed,common
largess,noun,extreme generosity and giving,common
laudable,adjective,worthy of high praise,common
lionize,verb,assign great social importance to,common
magnanimous,adjective,"noble and generous in spirit, especially towards a rival or someone less powerful",common
maintain,verb,to assert,common
maladroit,adjective,clumsy,common
maverick,noun,someone who exhibits great independence in thought and action,common
mawkish,adjective,overly sentimental to the point that it is disgusting,common
mendacity,noun,the tendency to be untruthful,common
mercurial,adjective,(of a person) prone to unexpected and unpredictable changes in mood,common
meticulous,adjective,marked by extreme care in treatment of details,common
misconstrue,verb,interpret in the wrong way,common
mitigate,verb,make less severe or harsh,common
mitigate,verb,lessen the severity of an offense,common
mollify,verb,to make someone angry less angry; placate,common
mundane,adjective,repetitive and boring; not spiritual,common
mundane,adjective,relating to the ordinary world,common
munificent,adjective,very generous,common
myopic,adjective,lacking foresight or imagination,common
myriad,noun,a large indefinite number,common
negligible,adjective,so small as to be meaningless; insignificant,common
nonplussed,verb,unsure how to act or respond,common
nuance,noun,a subtle difference in meaning or opinion or attitude,common
obscure,verb,make unclear,common
obscure,adjective,known by only a few,common
obsequious,adjective,attentive in an ingratiating or servile manner; attempting to win favor from influential people by flattery,common
opaque,adjective,not clearly understood or expressed,common
opulence,noun,wealth as evidenced by sumptuous living,common
ostentatious,adjective,intended to attract notice and impress others; tawdry or vulgar,common
ostracize,verb,exclude from a community or group,common
panache,noun,distinctive and stylish elegance,common
parochial,adjective,narrowly restricted in scope or outlook,common
parsimonious,adjective,extremely frugal; miserly,common
pedantic,adjective,marked by a narrow focus on or display of learning especially its trivial aspects,common
pedestrian,adjective,lacking imagination,common
pejorative,adjective,expressing disapproval (usu. refers to a term),common
perfidy,noun,an act of deliberate betrayal; a breach of a trust,common
pernicious,adjective,exceedingly harmful; working or spreading in a hidden and injurious way,common
petulant,adjective,easily irritated or annoyed,common
placate,verb,cause to be more favorably inclined; gain the good will of,common
platitude,noun,a trite or obvious remark,common
poignant,adjective,emotionally touching,common
polemic,noun,a strong verbal or written attack on someone or something.,common
posit,verb,assume as fact,common
pragmatic,adjective,guided by practical experience and observation rather than theory,common
precipitous,adjective,done with very great haste and without due deliberation,common
preclude,verb,keep from happening or arising; make impossible,common
precocious,adjective,characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude),common
predilection,noun,a strong liking,common
prescience,noun,the power to foresee the future,common
prevaricate,verb,to speak in an evasive way,common
prodigal,adjective,rashly or wastefully extravagant,common
prodigious,adjective,so great in size or force or extent as to elicit awe,common
profligate,adjective,spending money recklessly or wastefully,common
profligate,noun,someone who spends money recklessly or wastefully,common
prolific,adjective,intellectually productive,common
propitious,adjective,presenting favorable circumstances; likely to result in or show signs of success,common
provincial,adjective,characteristic of the a limited perspective; not fashionable or sophisticated,common
pundit,noun,someone who has been admitted to membership in a scholarly field,common
qualify,adjective,to be legally competent or capable,common
qualify,verb,to make less severe; to limit (a statement),common
querulous,adjective,habitually complaining,common
quotidian,adjective,found in the ordinary course of events,common
ravenous,adjective,extremely hungry; devouring or craving food in great quantities,common
rebuke,verb,criticize severely or angrily; censure,common
reconcile,verb,make (one thing) compatible with (another),common
recondite,adjective,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,common
refractory,adjective,stubbornly resistant to authority or control,common
refute,verb,prove to be false or incorrect,common
reproach,verb,to express criticism towards,common
repudiate,verb,reject as untrue or unfounded,common
rescind,verb,cancel officially,common
restive,adjective,restless,common
resurgent,adjective,rising again as to new life and vigor,common
reticent,adjective,reluctant to draw attention to yourself; temperamentally disinclined to talk,common
reverent,adjective,feeling or showing profound respect or veneration,common
rudimentary,adjective,being in the earliest stages of development; being or involving basic facts or principles,common
rustic,adjective,characteristic of rural life; awkwardly simple and provincial,common
sanction,verb,give authority or permission to,common
sanction,noun,a legal penalty for a forbidden action,common
scrupulous,adjective,characterized by extreme care and great effort,common
scrupulous,adjective,having a sense of right and wrong; principled,common
soporific,adjective,inducing mental lethargy; sleep inducing,common
specious,adjective,based on pretense; deceptively pleasing,common
specious,adjective,plausible but false,common
sporadic,adjective,recurring in scattered and irregular or unpredictable instances,common
spurious,adjective,plausible but false,common
staunch,adjective,firm and dependable especially in loyalty,common
stringent,adjective,demanding strict attention to rules and procedures,common
subsume,verb,contain or include,common
subsume,verb,consider (an instance of something) as part of a general rule or principle,common
subversive,adjective,in opposition to a civil authority or government,common
sullen,adjective,showing a brooding ill humor,common
superfluous,adjective,serving no useful purpose,common
superfluous,adjective,"more than is needed, desired, or required",common
supplant,verb,take the place or move into the position of,common
sycophant,noun,a person who tries to please someone in order to gain a personal advantage,common
taciturn,adjective,habitually reserved and uncommunicative,common
tantamount,adjective,being essentially equal to something,common
temperance,noun,the trait of avoiding excesses,common
tempered,adjective,moderated in effect,common
tenacious,adjective,stubbornly unyielding,common
timorous,adjective,timid by nature or revealing fear and nervousness,common
torpor,noun,inactivity resulting from lethargy and lack of vigor or energy,common
tortuous,adjective,marked by repeated turns and bends; not straightforward,common
tractable,adjective,readily reacting to suggestions and influences; easily managed (controlled or taught or molded),common
transient,adjective,lasting a very short time,common
travesty,noun,an absurd presentation of something; a mockery,common
treacherous,adjective,tending to betray,common
treacherous,adjective,dangerously unstable and unpredictable,common
trite,adjective,repeated too often; overfamiliar through overuse,common
truncate,verb,reduce the length of something,common
undermine,adjective,to weaken (usually paired with an abstract term),common
underscore,verb,give extra weight to (a communication),common
unequivocal,adjective,admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion,common
unscrupulous,adjective,without scruples or principles,common
upbraid,verb,to reproach; to scold,common
vacillate,verb,be undecided about something; waver between conflicting positions or courses of action,common
vehement,adjective,marked by extreme intensity of emotions or convictions,common
venality,noun,the condition of being susceptible to bribes or corruption,common
venerate,verb,to respect deeply,common
veracious,adjective,truthful,common
vilify,verb,spread negative information about,common
vindicate,verb,"to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof",common
vociferous,adjective,conspicuously and offensively loud; given to vehement outcry,common
volubility,noun,the quality of talking or writing easily and continuously,common
wanting,adjective,lacking,common
winsome,adjective,charming in a childlike or naive way,common
